season,week,kickoff_iso_utc,game_key,source_uid,home_team_raw,away_team_raw,home_team_norm,away_team_norm,spread_home_relative,total,moneyline_home,moneyline_away,odds_source,is_closing,snapshot_at,home_pr,away_pr,home_sos,away_sos,home_sos_rank,away_sos_rank,hfa,rating_diff,rating_vs_odds,home_pf_pg,home_pa_pg,home_ry_pg,home_py_pg,home_ty_pg,home_ry_allowed_pg,home_py_allowed_pg,home_ty_allowed_pg,home_to_margin_pg,home_su,home_ats,home_rush_rank,home_pass_rank,home_tot_off_rank,home_rush_def_rank,home_pass_def_rank,home_tot_def_rank,away_pf_pg,away_pa_pg,away_ry_pg,away_py_pg,away_ty_pg,away_ry_allowed_pg,away_py_allowed_pg,away_ty_allowed_pg,away_to_margin_pg,away_su,away_ats,away_rush_rank,away_pass_rank,away_tot_off_rank,away_rush_def_rank,away_pass_def_rank,away_tot_def_rank,raw_sources
2025,6,2025-10-10T00:15:00+00:00,20251010_0015_nyg_phi,2025_06_PHI_NYG,NYG,PHI,nyg,phi,-7.0,40.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,117.0,219.8,336.8,0.0,0.0,0.0,0.0,1-4,0-5-0,13,18,19,1,1,1,0.0,0.0,99.8,177.8,277.6,0.0,0.0,0.0,0.0,4-1,4-1-0,24,28,29,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_PHI_NYG"",""gsis"":59921.0,""gameday"":""2025-10-09"",""season"":2025,""week"":6,""home_team"":""NYG"",""away_team"":""PHI""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T13:30:00+00:00,20251012_1330_nyj_den,2025_06_DEN_NYJ,NYJ,DEN,nyj,den,-7.5,43.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,144.4,201.4,345.8,0.0,0.0,0.0,0.0,0-5,0-5-0,3,24,17,1,1,1,0.0,0.0,140.6,220.6,361.2,0.0,0.0,0.0,0.0,3-2,4-1-0,4,16,13,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_DEN_NYJ"",""gsis"":59922.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""NYJ"",""away_team"":""DEN""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T17:00:00+00:00,20251012_1700_bal_la,2025_06_LA_BAL,BAL,LA,bal,la,-7.0,44.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,115.6,220.0,335.6,0.0,0.0,0.0,0.0,1-4,2-3-0,16,17,21,1,1,1,0.0,0.0,112.2,300.6,412.8,0.0,0.0,0.0,0.0,3-2,4-1-0,20,1,2,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_LA_BAL"",""gsis"":59923.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""BAL"",""away_team"":""LA""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T17:00:00+00:00,20251012_1700_car_dal,2025_06_DAL_CAR,CAR,DAL,car,dal,-3.0,49.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,128.0,201.8,329.8,0.0,0.0,0.0,0.0,2-3,2-3-0,10,23,23,1,1,1,0.0,0.0,134.4,279.4,413.8,0.0,0.0,0.0,0.0,2-2-1,2-3-0,8,3,1,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_DAL_CAR"",""gsis"":59924.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""CAR"",""away_team"":""DAL""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T17:00:00+00:00,20251012_1700_ind_ari,2025_06_ARI_IND,IND,ARI,ind,ari,7.0,47.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,128.2,259.8,388.0,0.0,0.0,0.0,0.0,4-1,3-2-0,9,4,4,1,1,1,0.0,0.0,118.2,192.4,310.6,0.0,0.0,0.0,0.0,2-3,3-2-0,12,26,25,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_ARI_IND"",""gsis"":59925.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""IND"",""away_team"":""ARI""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T17:00:00+00:00,20251012_1700_jaguars_sea,2025_06_SEA_JAX,JAX,SEA,jaguars,sea,-1.5,47.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,137.0,213.2,350.2,0.0,0.0,0.0,0.0,4-1,3-2-0,5,19,14,1,1,1,0.0,0.0,113.0,252.2,365.2,0.0,0.0,0.0,0.0,3-2,4-1-0,18,7,10,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_SEA_JAX"",""gsis"":59926.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""JAX"",""away_team"":""SEA""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T17:00:00+00:00,20251012_1700_mia_lac,2025_06_LAC_MIA,MIA,LAC,mia,lac,-4.5,44.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,82.2,208.0,290.2,0.0,0.0,0.0,0.0,1-4,1-4-0,28,20,27,1,1,1,0.0,0.0,116.8,254.6,371.4,0.0,0.0,0.0,0.0,3-2,4-1-0,14,6,8,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_LAC_MIA"",""gsis"":59927.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""MIA"",""away_team"":""LAC""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T17:00:00+00:00,20251012_1700_no_ne,2025_06_NE_NO,NO,NE,no,ne,-3.5,46.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,116.8,201.8,318.6,0.0,0.0,0.0,0.0,1-4,1-4-0,14,23,24,1,1,1,0.0,0.0,95.2,252.2,347.4,0.0,0.0,0.0,0.0,3-2,2-3-0,26,7,16,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_NE_NO"",""gsis"":59932.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""NO"",""away_team"":""NE""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T17:00:00+00:00,20251012_1700_pit_cle,2025_06_CLE_PIT,PIT,CLE,pit,cle,5.5,37.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,80.0,199.5,279.5,0.0,0.0,0.0,0.0,3-1,3-1-0,29,25,28,1,1,1,0.0,0.0,95.8,204.8,300.6,0.0,0.0,0.0,0.0,1-4,0-5-0,25,22,26,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_CLE_PIT"",""gsis"":59928.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""PIT"",""away_team"":""CLE""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T20:05:00+00:00,20251012_2005_lv_ten,2025_06_TEN_LV,LV,TEN,lv,ten,4.5,41.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,112.6,235.2,347.8,0.0,0.0,0.0,0.0,1-4,2-3-0,19,14,15,1,1,1,0.0,0.0,85.2,175.8,261.0,0.0,0.0,0.0,0.0,1-4,0-5-0,27,29,30,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_TEN_LV"",""gsis"":59930.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""LV"",""away_team"":""TEN""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T20:25:00+00:00,20251012_2025_gb_cin,2025_06_CIN_GB,GB,CIN,gb,cin,14.5,44.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,114.5,250.0,364.5,0.0,0.0,0.0,0.0,2-1-1,4-0-0,17,9,11,1,1,1,0.0,0.0,57.0,189.2,246.2,0.0,0.0,0.0,0.0,2-3,2-3-0,30,27,31,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_CIN_GB"",""gsis"":59931.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""GB"",""away_team"":""CIN""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-12T20:25:00+00:00,20251012_2025_tb_49ers,2025_06_SF_TB,TB,SF,tb,49ers,3.5,47.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,110.4,256.6,367.0,0.0,0.0,0.0,0.0,4-1,2-3-0,21,5,9,1,1,1,0.0,0.0,85.2,298.2,383.4,0.0,0.0,0.0,0.0,4-1,3-2-0,27,2,5,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_SF_TB"",""gsis"":59929.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""TB"",""away_team"":""SF""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-13T00:20:00+00:00,20251013_0020_kc_det,2025_06_DET_KC,KC,DET,kc,det,2.5,52.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,120.0,251.4,371.4,0.0,0.0,0.0,0.0,2-3,3-2-0,11,8,8,1,1,1,0.0,0.0,134.8,238.0,372.8,0.0,0.0,0.0,0.0,4-1,4-1-0,7,12,7,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_DET_KC"",""gsis"":59933.0,""gameday"":""2025-10-12"",""season"":2025,""week"":6,""home_team"":""KC"",""away_team"":""DET""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-13T23:15:00+00:00,20251013_2315_atl_buf,2025_06_BUF_ATL,ATL,BUF,atl,buf,-4.5,49.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,136.5,236.75,373.25,0.0,0.0,0.0,0.0,2-2,2-2-0,6,13,6,1,1,1,0.0,0.0,154.4,249.8,404.2,0.0,0.0,0.0,0.0,4-1,4-1-0,2,10,3,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_BUF_ATL"",""gsis"":59934.0,""gameday"":""2025-10-13"",""season"":2025,""week"":6,""home_team"":""ATL"",""away_team"":""BUF""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
2025,6,2025-10-14T00:15:00+00:00,20251014_0015_commanders_chi,2025_06_CHI_WAS,WAS,CHI,commanders,chi,4.5,49.5,,,schedule,False,,,,,,,,0.0,,,0.0,0.0,156.4,205.4,361.8,0.0,0.0,0.0,0.0,3-2,3-2-0,1,21,12,1,1,1,0.0,0.0,102.25,238.5,340.75,0.0,0.0,0.0,0.0,2-2,1-3-0,23,11,18,1,1,1,"{""schedule_row"":{""game_id"":""2025_06_CHI_WAS"",""gsis"":59935.0,""gameday"":""2025-10-13"",""season"":2025,""week"":6,""home_team"":""WAS"",""away_team"":""CHI""},""odds_row"":null,""sagarin_row_home"":null,""sagarin_row_away"":null}"
